unix,date,symbol,open,high,low,close,Volume ADA,Volume BTC,tradecount
1609459140000,2020-12-31 23:59:00,ADA/BTC,0.00000627,0.00000627,0.00000626,0.00000627,95392.00000000,0.59767637,25
1609459080000,2020-12-31 23:58:00,ADA/BTC,0.00000627,0.00000627,0.00000626,0.00000626,92835.00000000,0.58206987,8
1609459020000,2020-12-31 23:57:00,ADA/BTC,0.00000627,0.00000627,0.00000626,0.00000626,6236.00000000,0.03908364,7
1609458960000,2020-12-31 23:56:00,ADA/BTC,0.00000626,0.00000631,0.00000625,0.00000627,1046289.00000000,6.56963610,141
1609458900000,2020-12-31 23:55:00,ADA/BTC,0.00000625,0.00000626,0.00000624,0.00000626,46625.00000000,0.29161001,13
1609458840000,2020-12-31 23:54:00,ADA/BTC,0.00000624,0.00000625,0.00000624,0.00000625,99724.00000000,0.62314681,14
1609458780000,2020-12-31 23:53:00,ADA/BTC,0.00000625,0.00000625,0.00000624,0.00000624,57734.00000000,0.36029758,23
1609458720000,2020-12-31 23:52:00,ADA/BTC,0.00000627,0.00000627,0.00000625,0.00000626,10565.00000000,0.06610718,15
1609458660000,2020-12-31 23:51:00,ADA/BTC,0.00000626,0.00000626,0.00000626,0.00000626,1875.00000000,0.01173750,5
1609458600000,2020-12-31 23:50:00,ADA/BTC,0.00000626,0.00000627,0.00000625,0.00000627,74221.00000000,0.46407264,41
1609458540000,2020-12-31 23:49:00,ADA/BTC,0.00000626,0.00000627,0.00000626,0.00000627,1258.00000000,0.00787763,8
1609458480000,2020-12-31 23:48:00,ADA/BTC,0.00000627,0.00000628,0.00000626,0.00000628,13684.00000000,0.08581447,15
1609458420000,2020-12-31 23:47:00,ADA/BTC,0.00000628,0.00000628,0.00000628,0.00000628,8679.00000000,0.05450412,7
1609458360000,2020-12-31 23:46:00,ADA/BTC,0.00000630,0.00000630,0.00000627,0.00000628,118746.00000000,0.74594027,67
1609458300000,2020-12-31 23:45:00,ADA/BTC,0.00000631,0.00000632,0.00000630,0.00000631,8039.00000000,0.05072669,24
1609458240000,2020-12-31 23:44:00,ADA/BTC,0.00000629,0.00000632,0.00000628,0.00000631,259140.00000000,1.63249854,103
1609458180000,2020-12-31 23:43:00,ADA/BTC,0.00000629,0.00000630,0.00000629,0.00000629,20927.00000000,0.13163146,7
1609458120000,2020-12-31 23:42:00,ADA/BTC,0.00000629,0.00000629,0.00000629,0.00000629,26012.00000000,0.16361548,11
1609458060000,2020-12-31 23:41:00,ADA/BTC,0.00000630,0.00000630,0.00000629,0.00000629,72943.00000000,0.45882123,22
1609458000000,2020-12-31 23:40:00,ADA/BTC,0.00000629,0.00000630,0.00000629,0.00000630,52068.00000000,0.32751268,13
1609457940000,2020-12-31 23:39:00,ADA/BTC,0.00000629,0.00000630,0.00000629,0.00000630,32969.00000000,0.20737877,10
1609457880000,2020-12-31 23:38:00,ADA/BTC,0.00000629,0.00000629,0.00000629,0.00000629,1234.00000000,0.00776186,4
1609457820000,2020-12-31 23:37:00,ADA/BTC,0.00000629,0.00000630,0.00000628,0.00000629,89129.00000000,0.56066475,32
1609457760000,2020-12-31 23:36:00,ADA/BTC,0.00000629,0.00000630,0.00000629,0.00000630,13778.00000000,0.08674168,4
1609457700000,2020-12-31 23:35:00,ADA/BTC,0.00000629,0.00000630,0.00000629,0.00000630,16593.00000000,0.10440750,9
1609457640000,2020-12-31 23:34:00,ADA/BTC,0.00000627,0.00000629,0.00000627,0.00000629,9583.00000000,0.06020814,16
